time,latitude,longitude,depth,mag,place
2024-04-07 10:38:07.914000+00:00,9.1927,94.0283,10.748,4.4,"Nicobar Islands, India region"
2024-04-06 09:23:21.002000+00:00,33.1643,76.8223,10.0,4.4,"34 km S of Padam, India"
2024-04-05 12:45:38.655000+00:00,26.4924,96.9139,69.136,5.7,"33 km NNE of Sarupathar, India"
2024-04-05 11:50:44.688000+00:00,33.2454,76.9224,28.17,4.2,"24 km S of Padam, India"
2024-04-04 16:04:32.601000+00:00,33.1698,76.816,32.436,5.0,"33 km S of Padam, India"
2024-03-31 07:56:33.664000+00:00,28.6316,95.9137,10.0,4.5,"82 km NNW of Tezu, India"
2024-03-21 00:38:31.223000+00:00,19.4899,77.2545,10.0,4.6,"20 km NNE of Basmat, India"
2024-03-15 19:26:08.490000+00:00,13.7525,92.896,22.068,4.4,"227 km N of Bamboo Flat, India"
2024-03-14 06:13:01.910000+00:00,11.2699,95.1326,10.0,4.8,"264 km E of Port Blair, India"
2024-03-12 18:02:09.118000+00:00,11.2654,94.7931,10.0,4.2,"227 km ESE of Port Blair, India"
2024-03-12 08:57:52.678000+00:00,25.7414,90.2866,10.0,4.4,"26 km NNE of Tura, India"
2024-03-11 17:07:19.912000+00:00,9.5188,93.5747,10.0,4.4,"254 km SSE of Port Blair, India"
2024-03-08 07:37:33.068000+00:00,10.504,93.8051,165.285,4.4,"172 km SE of Port Blair, India"
2024-03-04 03:50:17.216000+00:00,10.6366,91.3969,10.0,4.0,"186 km SW of Bamboo Flat, India"
2024-02-22 17:05:55.410000+00:00,33.1787,76.8103,10.0,4.3,"32 km SSW of Padam, India"
2024-02-20 01:05:59.441000+00:00,33.1565,76.8759,10.0,4.3,"34 km S of Padam, India"
2024-02-09 06:51:55.718000+00:00,24.6542,94.86,105.99,4.0,"80 km E of Wāngjing, India"
2024-02-04 22:43:12.502000+00:00,12.0638,93.6037,123.195,4.7,"103 km ENE of Port Blair, India"
2024-02-02 19:27:58.362000+00:00,24.3685,94.6019,99.291,4.5,"59 km ESE of Wāngjing, India"
2024-02-02 05:56:41.722000+00:00,6.6914,92.5268,10.0,4.6,"Nicobar Islands, India region"
2024-01-28 11:52:30.667000+00:00,9.1856,93.8962,10.0,4.3,"Nicobar Islands, India region"
2024-01-25 21:58:08.234000+00:00,22.1702,93.1736,41.343,4.4,"40 km SSE of Saiha, India"
